run,qrels,p,all,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
all_res_misinfo-2020_bm25_title.csv,misinfo-qrels-graded.helpful-only,0.95,0.2141,0.2230,0.5490,0.3918,0.2105,0.0212,0.0043,0.0524,0.2429,0.2990,0.0015,0.8895,0.0189,0.4047,0.0735,0.2525,0.0002,0.8223,0.1132,0.2172,0.1249,0.2006,0.0684,0.2256,0.0238,0.0491,0.6231,0.0043,0.0004,0.1409,0.2468,0.0073,0.9442,NA,0.7249,NA,0.0629,0.0045,0.0008,0.0000,0.3097,0.0152,0.0378,0.0000,0.0633,0.0076,NA,0.8193,NA,0.0322,0.3249
all_res_misinfo-2020_bm25_title.csv,misinfo-qrels-graded.harmful-only,0.95,0.0467,0.0000,0.0147,NA,0.0000,NA,0.0366,0.0000,0.0041,0.0021,0.0000,NA,NA,0.2577,0.0372,0.0000,0.0000,0.1240,0.0000,0.2305,0.0054,NA,0.0575,NA,NA,0.2732,NA,0.0113,0.0146,NA,0.0000,0.0001,NA,NA,NA,NA,NA,NA,0.0003,0.0001,0.0688,0.0000,NA,0.0000,0.0168,0.1584,NA,0.0002,NA,0.1308,0.0514
rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2263,0.0681,0.5534,0.6029,0.2130,0.0791,0.0293,0.0085,0.3381,0.2289,0.0363,0.6741,0.0794,0.3090,0.0553,0.1314,0.0011,0.5739,0.1258,0.0706,0.0564,0.2810,0.0974,0.3326,0.0071,0.0750,0.7379,0.1454,0.0365,0.2166,0.1419,0.0406,0.8993,NA,0.4450,NA,0.1401,0.0059,0.1361,0.0000,0.3961,0.2620,0.1543,0.0000,0.2056,0.0064,NA,0.6513,NA,0.3137,0.4481
rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0777,0.0000,0.1198,NA,0.0000,NA,0.0366,0.0000,0.0159,0.0001,0.0000,NA,NA,0.0350,0.1353,0.0000,0.0000,0.2001,0.0000,0.2643,0.0501,NA,0.0828,NA,NA,0.2815,NA,0.1615,0.0123,NA,0.0000,0.0002,NA,NA,NA,NA,NA,NA,0.0906,0.0001,0.2288,0.0000,NA,0.0000,0.3098,0.1686,NA,0.0002,NA,0.1612,0.1305
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_1_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2898,0.1189,0.6897,0.3048,0.2220,0.2108,0.0220,0.2953,0.2520,0.2011,0.2857,0.7598,0.1226,0.3619,0.1558,0.3719,0.0014,0.5128,0.4470,0.1234,0.2362,0.2633,0.1954,0.4025,0.0327,0.0722,0.6330,0.0781,0.0409,0.0760,0.1140,0.0203,0.9398,NA,0.7215,NA,0.3309,0.0469,0.2737,0.0000,0.3275,0.5365,0.3894,0.0000,0.2915,0.0093,NA,0.8360,NA,0.2627,0.7417
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_1_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0801,0.0000,0.1027,NA,0.0000,NA,0.0237,0.0000,0.0004,0.0001,0.0000,NA,NA,0.0732,0.1375,0.0000,0.0000,0.1614,0.0000,0.2631,0.0314,NA,0.1594,NA,NA,0.3349,NA,0.0882,0.0252,NA,0.0000,0.0001,NA,NA,NA,NA,NA,NA,0.2455,0.0001,0.0295,0.0000,NA,0.0000,0.4656,0.1854,NA,0.0002,NA,0.1682,0.0670
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_2_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2743,0.0497,0.4760,0.6249,0.2120,0.3319,0.0518,0.0591,0.2245,0.1745,0.1950,0.6603,0.0803,0.6182,0.1248,0.0985,0.0009,0.4115,0.2561,0.1439,0.1289,0.2869,0.1900,0.4962,0.0236,0.0881,0.6677,0.0918,0.0108,0.1280,0.1110,0.0339,0.8821,NA,0.7209,NA,0.1444,0.0400,0.2171,0.0000,0.3746,0.3382,0.6042,0.0000,0.3643,0.0108,NA,0.7632,NA,0.3562,0.7515
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_2_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0859,0.0000,0.1553,NA,0.0000,NA,0.0366,0.0000,0.0092,0.0001,0.0000,NA,NA,0.0561,0.1900,0.0000,0.0000,0.3391,0.0000,0.0770,0.0039,NA,0.2046,NA,NA,0.2585,NA,0.0639,0.2019,NA,0.0000,0.0004,NA,NA,NA,NA,NA,NA,0.1677,0.0001,0.2323,0.0000,NA,0.0000,0.3975,0.1336,NA,0.0002,NA,0.1931,0.0285
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_3_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2753,0.0967,0.5582,0.6474,0.2115,0.2565,0.0540,0.0820,0.4365,0.1843,0.0237,0.7125,0.0979,0.2358,0.1055,0.3398,0.0014,0.5362,0.4560,0.1778,0.3276,0.2769,0.0620,0.2533,0.0327,0.2301,0.4836,0.1463,0.0327,0.1530,0.1169,0.0380,0.9396,NA,0.7512,NA,0.3316,0.0138,0.2763,0.0000,0.0814,0.3364,0.5331,0.0000,0.4306,0.0140,NA,0.8915,NA,0.1570,0.5417
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_3_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0778,0.0000,0.1817,NA,0.0000,NA,0.0366,0.0000,0.0429,0.0001,0.0000,NA,NA,0.0115,0.1842,0.0000,0.0000,0.2803,0.0000,0.2572,0.0147,NA,0.0645,NA,NA,0.2425,NA,0.1793,0.0267,NA,0.0000,0.0001,NA,NA,NA,NA,NA,NA,0.2455,0.0001,0.0421,0.0000,NA,0.0000,0.2910,0.1700,NA,0.0002,NA,0.0704,0.1485
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_4_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2732,0.2316,0.6925,0.4710,0.2124,0.2922,0.0353,0.3499,0.1858,0.1438,0.0744,0.7526,0.1398,0.3307,0.1450,0.2232,0.0009,0.3683,0.1357,0.0914,0.1961,0.2718,0.0939,0.2719,0.0270,0.1514,0.6995,0.1929,0.0294,0.1117,0.1772,0.0882,0.8598,NA,0.5707,NA,0.3298,0.0262,0.0437,0.0000,0.2268,0.3392,0.6005,0.0000,0.3153,0.0044,NA,0.7603,NA,0.5733,0.7306
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_4_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0909,0.0000,0.1387,NA,0.0000,NA,0.0366,0.0000,0.0477,0.0001,0.0000,NA,NA,0.1685,0.1643,0.0000,0.0000,0.2342,0.0000,0.2564,0.0130,NA,0.2996,NA,NA,0.1431,NA,0.4402,0.0130,NA,0.0000,0.0003,NA,NA,NA,NA,NA,NA,0.0257,0.0001,0.1269,0.0000,NA,0.0000,0.4239,0.1384,NA,0.0002,NA,0.1189,0.1196
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_5_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2556,0.1073,0.5862,0.6137,0.2121,0.2607,0.1878,0.3031,0.2108,0.1352,0.1209,0.6434,0.0601,0.4164,0.1544,0.2015,0.0014,0.4595,0.1171,0.0736,0.0306,0.2793,0.0946,0.1584,0.0255,0.1299,0.7208,0.1284,0.0701,0.1489,0.1228,0.0475,0.9160,NA,0.8755,NA,0.0968,0.0603,0.2177,0.0000,0.2877,0.2718,0.0932,0.0000,0.3642,0.0081,NA,0.8331,NA,0.3230,0.5887
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_gen_narr_trec_role_narrative_chainofth1_5_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0907,0.0000,0.1755,NA,0.0000,NA,0.0366,0.0000,0.0597,0.0001,0.0000,NA,NA,0.0184,0.1824,0.0000,0.0000,0.2445,0.0000,0.2163,0.0697,NA,0.0950,NA,NA,0.3491,NA,0.3497,0.0101,NA,0.0000,0.0002,NA,NA,NA,NA,NA,NA,0.1677,0.0001,0.2513,0.0000,NA,0.0000,0.3975,0.1412,NA,0.0002,NA,0.1078,0.0299
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_1_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.3141,0.1898,0.7309,0.4555,0.2173,0.4233,0.1804,0.4102,0.3963,0.1860,0.2857,0.6933,0.1446,0.5762,0.1372,0.1725,0.0014,0.4359,0.4703,0.0798,0.1832,0.2776,0.1770,0.4734,0.0327,0.0872,0.4655,0.3598,0.0525,0.2148,0.1160,0.0102,0.9181,0.7624,0.2494,0.0478,0.2697,0.0000,0.5293,0.5391,0.5168,0.0000,0.3163,0.0139,0.5961,0.2869,0.7641
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_1_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0944,0.0000,0.0924,NA,0.0000,NA,0.0366,0.0000,0.0766,0.0001,0.0000,NA,NA,0.0330,0.2207,0.0000,0.0000,0.2781,0.0000,0.1941,0.0213,NA,0.2046,NA,NA,0.2944,NA,0.3283,0.0234,NA,0.0000,0.0001,NA,NA,NA,NA,0.2455,0.0001,0.0718,0.0000,NA,0.0000,0.4239,0.2563,0.0002,0.1804,0.0399
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_2_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.3031,0.1023,0.6461,0.7384,0.2120,0.3916,0.1294,0.2434,0.2978,0.1286,0.2181,0.7573,0.1428,0.3644,0.0891,0.2469,0.0014,0.5186,0.3322,0.1727,0.2330,0.2944,0.0635,0.2627,0.0327,0.1590,0.7063,0.4062,0.0603,0.2756,0.1759,0.0636,0.7878,0.7480,0.3630,0.0456,0.2831,0.0000,0.5122,0.5189,0.0730,0.0000,0.2904,0.0101,0.8954,0.1578,0.7909
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_2_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0805,0.0000,0.1589,NA,0.0000,NA,0.0366,0.0000,0.0005,0.0001,0.0000,NA,NA,0.1170,0.2217,0.0000,0.0000,0.1922,0.0000,0.1609,0.0786,NA,0.0515,NA,NA,0.3409,NA,0.3096,0.0342,NA,0.0000,0.0007,NA,NA,NA,NA,0.2455,0.0001,0.0771,0.0000,NA,0.0000,0.2910,0.1220,0.0002,0.1205,0.0151
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_3_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.3182,0.0545,0.7234,0.6461,0.2390,0.4252,0.1714,0.3865,0.3311,0.1340,0.1710,0.7636,0.1025,0.5359,0.1973,0.2727,0.0014,0.3030,0.1467,0.0927,0.3497,0.2512,0.2128,0.4432,0.0327,0.1094,0.7269,0.2605,0.0327,0.2730,0.2949,0.0887,0.9393,0.7667,0.4461,0.0774,0.2688,0.0000,0.5189,0.5456,0.0237,0.0000,0.2907,0.0086,0.9596,0.2292,0.7881
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_3_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0982,0.0000,0.1699,NA,0.0000,NA,0.0366,0.0000,0.0159,0.0001,0.0000,NA,NA,0.0409,0.1536,0.0000,0.0000,0.2080,0.0000,0.3227,0.0063,NA,0.2046,NA,NA,0.2883,NA,0.2649,0.0232,NA,0.0000,0.0005,NA,NA,NA,NA,0.2455,0.0001,0.0703,0.0000,NA,0.0000,0.4656,0.3298,0.0002,0.2535,0.0402
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_4_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.3214,0.1145,0.6357,0.6137,0.2227,0.4357,0.1009,0.4263,0.4607,0.1611,0.1926,0.5198,0.1059,0.5714,0.1748,0.1203,0.0014,0.3219,0.3340,0.1581,0.4073,0.2796,0.2026,0.3518,0.0327,0.2596,0.7117,0.2582,0.0701,0.1804,0.1274,0.0097,0.8603,0.7587,0.2695,0.0109,0.2709,0.0000,0.5537,0.5326,0.5947,0.0000,0.3357,0.0067,0.8551,0.4812,0.6934
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_4_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0817,0.0000,0.0958,NA,0.0000,NA,0.0366,0.0000,0.1022,0.0001,0.0000,NA,NA,0.0491,0.1795,0.0000,0.0000,0.3330,0.0000,0.1100,0.0062,NA,0.2046,NA,NA,0.2727,NA,0.2987,0.0190,NA,0.0000,0.0002,NA,NA,NA,NA,0.2455,0.0001,0.0603,0.0000,NA,0.0000,0.3362,0.1498,0.0002,0.0857,0.0299
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_5_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.3030,0.0693,0.5676,0.7136,0.2124,0.4360,0.0985,0.4175,0.5027,0.1154,0.2839,0.7465,0.1428,0.5629,0.1489,0.3197,0.0014,0.5142,0.2066,0.1001,0.1254,0.2743,0.1260,0.4426,0.0327,0.0908,0.4799,0.4039,0.0525,0.0831,0.2424,0.0342,0.9139,0.7427,0.1757,0.0696,0.3023,0.0000,0.5230,0.4340,0.0194,0.0000,0.2415,0.0150,0.9221,0.2293,0.7998
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_narrative_chainofth1_5_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0892,0.0000,0.2726,NA,0.0000,NA,0.0366,0.0000,0.0766,0.0001,0.0000,NA,NA,0.0246,0.1990,0.0000,0.0000,0.1897,0.0000,0.2026,0.1068,NA,0.2996,NA,NA,0.3320,NA,0.0663,0.0161,NA,0.0000,0.0002,NA,NA,NA,NA,0.2455,0.0001,0.0748,0.0000,NA,0.0000,0.4239,0.1197,0.0002,0.1406,0.0254
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_nonarrative_chainofth1_1_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2809,0.0581,0.7114,0.5865,0.2115,0.3665,0.1307,0.3543,0.4609,0.2011,0.0469,0.7205,0.1323,0.3426,0.1028,0.1112,0.0014,0.5128,0.5071,0.0847,0.2254,0.2904,0.1954,0.4652,0.0327,0.0722,0.5580,0.0781,0.0327,0.1745,0.1162,0.0154,0.9159,0.7154,0.2222,0.0469,0.2692,0.0000,0.5293,0.2490,0.0194,0.0000,0.2905,0.0081,0.7152,0.2627,0.7796
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_nonarrative_chainofth1_1_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0910,0.0000,0.0902,NA,0.0000,NA,0.0366,0.0000,0.0007,0.0001,0.0000,NA,NA,0.1379,0.1643,0.0000,0.0000,0.1614,0.0000,0.5054,0.0514,NA,0.1594,NA,NA,0.3349,NA,0.0882,0.0245,NA,0.0000,0.0001,NA,NA,NA,NA,0.2455,0.0001,0.0718,0.0000,NA,0.0000,0.4656,0.1600,0.0002,0.1682,0.0447
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_nonarrative_chainofth1_2_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2993,0.0894,0.7301,0.6278,0.2173,0.4397,0.0985,0.0038,0.4683,0.1293,0.2795,0.7692,0.1446,0.5153,0.1427,0.2685,0.0014,0.4450,0.2621,0.1084,0.1401,0.2767,0.2282,0.3536,0.0327,0.1372,0.6084,0.3293,0.0409,0.0925,0.1310,0.0424,0.9235,0.7243,0.3973,0.0298,0.2768,0.0000,0.3746,0.5007,0.6043,0.0000,0.2425,0.0046,0.5767,0.2490,0.7096
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_nonarrative_chainofth1_2_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.1049,0.0000,0.1187,NA,0.0000,NA,0.0366,0.0000,0.1210,0.0001,0.0000,NA,NA,0.0311,0.2037,0.0000,0.0000,0.3137,0.0000,0.2995,0.0083,NA,0.2046,NA,NA,0.3225,NA,0.2921,0.0296,NA,0.0000,0.0002,NA,NA,NA,NA,0.2455,0.0001,0.2323,0.0000,NA,0.0000,0.4239,0.1738,0.0002,0.2480,0.0499
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_nonarrative_chainofth1_3_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2894,0.2572,0.6311,0.4677,0.2227,0.2987,0.1088,0.0121,0.4282,0.1416,0.0635,0.7043,0.1466,0.4191,0.1697,0.3024,0.0014,0.4475,0.4560,0.1384,0.3998,0.2743,0.2282,0.4661,0.0327,0.0976,0.4655,0.0861,0.0327,0.2055,0.1203,0.0434,0.9228,0.7684,0.2939,0.0106,0.2701,0.0000,0.3275,0.3693,0.3970,0.0000,0.2906,0.0109,0.6804,0.3344,0.7689
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_nonarrative_chainofth1_3_cleanhtml.txt,misinfo-qrels-graded.harmful-only,0.95,0.0951,0.0000,0.1817,NA,0.0000,NA,0.0366,0.0000,0.1891,0.0001,0.0000,NA,NA,0.1158,0.1292,0.0000,0.0000,0.1694,0.0000,0.2484,0.0080,NA,0.2046,NA,NA,0.2779,NA,0.3794,0.0164,NA,0.0000,0.0002,NA,NA,NA,NA,0.2455,0.0001,0.0295,0.0000,NA,0.0000,0.4656,0.1348,0.0002,0.1706,0.0393
title-rerank_bm25-cross-encoder_cross-encoder-ms-marco-MiniLM-L-12-v2_title_original_role_nonarrative_chainofth1_4_cleanhtml.txt,misinfo-qrels-graded.helpful-only,0.95,0.2936,0.0716,0.7565,0.4633,0.2120,0.2952,0.1901,0.4106,0.4286,0.2012,0.1926,0.7810,0.1569,0.4563,0.0976,0.3138,0.0014,0.4385,0.1458,0.0919,0.1819,0.2810,0.1925,0.3849,0.0156,0.0928,0.8209,0.3632,0.0327,0.1306,0.1221,0.0273,0.9187,0.5795,0.1726,0.0109,0.1838,0.0000,0.4277,0.3775,0.1949,0.0000,0.3642,0.0063,0.8357,0.4855,0.5994
